
--- Relatorio de Estoque Baixo (Limite: 5) ---
ID: 2694 | Nome: Produto 2694 | Estoque: 1
ID: 504 | Nome: Produto 504 | Estoque: 0
ID: 1017 | Nome: Produto 1017 | Estoque: 4
ID: 3 | Nome: Produto 3 | Estoque: 2
ID: 2414 | Nome: Produto 2414 | Estoque: 2
ID: 601 | Nome: Produto 601 | Estoque: 2
ID: 3182 | Nome: Produto 3182 | Estoque: 4
ID: 1223 | Nome: Produto 1223 | Estoque: 3
ID: 2742 | Nome: Produto 2742 | Estoque: 3
ID: 3151 | Nome: Produto 3151 | Estoque: 0
ID: 397 | Nome: Produto 397 | Estoque: 3
ID: 35 | Nome: Produto 35 | Estoque: 0
ID: 3943 | Nome: Produto 3943 | Estoque: 2
ID: 104 | Nome: Produto 104 | Estoque: 3
ID: 4399 | Nome: Produto 4399 | Estoque: 4
ID: 3313 | Nome: Produto 3313 | Estoque: 0
ID: 1258 | Nome: Produto 1258 | Estoque: 2
ID: 3727 | Nome: Produto 3727 | Estoque: 2
ID: 237 | Nome: Produto 237 | Estoque: 0
ID: 3414 | Nome: Produto 3414 | Estoque: 0
ID: 1250 | Nome: Produto 1250 | Estoque: 1
ID: 3480 | Nome: Produto 3480 | Estoque: 3
ID: 3628 | Nome: Produto 3628 | Estoque: 4
ID: 1800 | Nome: Produto 1800 | Estoque: 2
ID: 2515 | Nome: Produto 2515 | Estoque: 2
ID: 1321 | Nome: Produto 1321 | Estoque: 3
ID: 2154 | Nome: Produto 2154 | Estoque: 1
ID: 3071 | Nome: Produto 3071 | Estoque: 1
ID: 3655 | Nome: Produto 3655 | Estoque: 0
ID: 1593 | Nome: Produto 1593 | Estoque: 4
ID: 1447 | Nome: Produto 1447 | Estoque: 0
ID: 2684 | Nome: Produto 2684 | Estoque: 4
ID: 3030 | Nome: Produto 3030 | Estoque: 1
ID: 967 | Nome: Produto 967 | Estoque: 4
ID: 171 | Nome: Produto 171 | Estoque: 2
ID: 4602 | Nome: Produto 4602 | Estoque: 0
ID: 3502 | Nome: Produto 3502 | Estoque: 1
ID: 1791 | Nome: Produto 1791 | Estoque: 3
ID: 2268 | Nome: Produto 2268 | Estoque: 0
ID: 2019 | Nome: Produto 2019 | Estoque: 3
ID: 3451 | Nome: Produto 3451 | Estoque: 1
ID: 2699 | Nome: Produto 2699 | Estoque: 0
ID: 3463 | Nome: Produto 3463 | Estoque: 3
ID: 1772 | Nome: Produto 1772 | Estoque: 2
ID: 3388 | Nome: Produto 3388 | Estoque: 0
ID: 3041 | Nome: Produto 3041 | Estoque: 0
ID: 933 | Nome: Produto 933 | Estoque: 4
ID: 1055 | Nome: Produto 1055 | Estoque: 1
ID: 4410 | Nome: Produto 4410 | Estoque: 2
ID: 3303 | Nome: Produto 3303 | Estoque: 2
ID: 1894 | Nome: Produto 1894 | Estoque: 0
ID: 1792 | Nome: Produto 1792 | Estoque: 0
ID: 3487 | Nome: Produto 3487 | Estoque: 0
ID: 1622 | Nome: Produto 1622 | Estoque: 2
Total de produtos com estoque baixo: 54
--- Fim do Relatorio ---

